id	input	joke
en_00001	I'm addicted to telling jokes about trains	I think I have a loco-motive
en_00002	My geometry teacher was obsessed with circles	He went around in circles all day
en_00003	I'm starting a band called The 1023 Megabytes	We haven't gotten a gig yet
en_00004	I tried to count how many stars are in the sky	I only got up to one, and then the sun came up
en_00005	I went to a seafood disco last night	I pulled a mussel
en_00006	I'm thinking of starting a company that makes custom doors	I'm just hoping I get my foot in the frame
en_00007	I saw an ad for a new vacuum cleaner that works with no electricity	It sucks, but only moderately so
en_00008	I used to be a baker, but I quit	I couldn't make enough dough
en_00009	Why did the old motorcar quit its job	It was tired of the daily combustion
en_00010	I tried to make a shirt out of magnets	It just wasn't very attractive
en_00011	I told my computer I needed a break	Now it won't stop showing me photos of coffee mugs
en_00012	I ordered a chicken and an egg online	I'll let you know which one comes first tomorrow
en_00013	Why don't oysters donate to charity	Because they are shellfish
en_00014	My favorite childhood memory is my older brother trying to open a juice box	I always got a good shot of orange soda on my face
en_00015	I wrote a song about a tortilla	Actually, it's more of a wrap
en_00016	I tried to take a photo of a ghost	I overexposed it
en_00017	I went to a restaurant that serves only overcooked food	It's a complete disaster, but only one option, so I'll go for it
en_00018	I'm writing a novel about a ghost town	I'm hoping for some local color
en_00019	Did you hear about the two guys who stole a calendar	They both got six months
en_00020	What do you call a computer that sings	A Dell-a
en_00021	I told my wife I was leaving because of her obsession with clocks	She said, Don't jump to conclusions, we have all the time in the world
en_00022	I tried to make a portable sundial	It was a total waste of time
en_00023	What did the grape say when it was stepped on	Nothing, it just let out a little wine
en_00024	I told my wife I was going to stop procrastinating	She said, No, wait until tomorrow
en_00025	Why was the coach so unhappy after the game	The team only had one score on the board: four losses
en_00026	I'm reading a book about conspiracy theories	I'm convinced it's a cover-up
en_00027	I have a friend who's a mime	He's always working on his craft, but I still haven't seen his opening act
en_00028	My doctor told me to watch my alcohol intake	I'm watching it closely, and it looks delicious
en_00030	Why did the golfer wear two pairs of pants	In case he got a hole-in-one
en_00031	I invented a new word	Plagiarism
en_00032	Why do we tell actors to break a leg"	Because every play has a cast
en_00033	Hear about the new restaurant called Karma	There's no menu: you get what you deserve
en_00034	Why did the stadium get hot after the game	Because all the fans left
en_00035	What's the difference between a guitar and a fish	You can tuna fish, but you can't fish a tune
en_00036	I used to hate facial hair, but now it's growing on me	I mustache you a question
en_00037	Why can't a bicycle stand up by itself	Because it's two tired
en_00038	What do you call an alligator in a vest	An investigator
en_00039	Why don't scientists trust atoms	Because they make up everything
en_00040	Did you hear about the fire at the circus	The heat was in tents
en_00041	What do you call a parade of rabbits hopping backwards	A receding hare-line
en_00042	Why did the coffee file a police report	It got mugged
en_00043	I'm reading a book on the history of glue	I just can't seem to put it down
en_00044	How does the moon cut his hair	Eclipse it
en_00045	I saw a fish with glasses	I guess it was a seeing fish
en_00046	I used to play piano by ear	Now I play it with my hands
en_00047	I tried to start a book club for people who like to sleep	It didn't work out; no one ever woke up for the meetings
en_00048	I don't trust stairs	They're always plotting something
en_00049	I tried to organize a contest for people who are scared of heights	No one showed up to the jump-off
en_00050	I got a job as a dishwasher	My first day was awful, I threw in the towel
en_00051	I'm writing a paper on the life of a sheep	I'm struggling with the rough draft, its mostly just wool
en_00052	I used to be a baker, but I quit	It was too much knead to succeed
en_00053	What do you call a belt made out of watches	A waist of time
en_00055	I decided to sell my vacuum cleaner	Well, it was just gathering dust
en_00056	I'm reading a book about anti-gravity	It's impossible to put down
en_00060	I got a job at a coffee bean factory	I'm not allowed to leave a single day of work—I have to be grounded
en_00061	My grandpa has the heart of a lion	And a lifetime ban from the zoo
en_00062	I only know 25 letters of the alphabet	I don't know Y
en_00063	I tried to write a pun about the wind	It just blows
en_00064	What do you call a very tall cat	A skyscraper
en_00075	Why was the math book sad	Because it had too many problems
en_00086	I saw a sign that said, Watch for children"	I thought, That sounds like a fair trade
en_00087	I tried to organize a hide-and-seek tournament	It was a complete flop—good players are hard to find
en_00088	My uncle claims he knows the best way to catch a squirrel	He says you should climb a tree and act like a nut
en_00089	I asked the librarian if the library had any books on paranoia	She whispered, They're right behind you
en_00090	My grandfather always told me I should save money for a rainy day	So I bought a boat
en_00091	I told my wife she was drawing her eyebrows too high	She looked surprised
en_00092	I've decided to sell my vacuum cleaner	Well, it was just gathering dust
en_00093	My boss told me to have a good day	So I went home
en_00094	Parallel lines have so much in common	Its a shame theyll never meet
en_00095	The man who invented the BINGO game died recently	His name was OMalley, and he will be missed
en_00096	What do you call a fake noodle	An impasta
en_00097	How many police officers does it take to change a lightbulb	nan
en_00098	Why did the skeleton go to the party alone	Because he had no body to go with him
en_00099	A man goes to the doctor and says, Doctor, I think I'm a pair of curtains!"	The doctor says, Pull yourself together!
en_00100	I told my wife she should embrace her mistakes	She gave me a hug
en_00101	My hotel told me to leave my key at the front desk	I guess they didnt trust me with the key to their success
en_00102	Singing in the shower is fun until you get soap in your mouth	Then it's a soap opera
en_00103	What do you call a lazy kangaroo	Pouch potato
en_00104	I stayed up all night to see where the sun went	Then it dawned on me
en_00105	I used to be addicted to soap	But Im clean now
en_00106	I had a dream I was a T-Rex	Then I woke up and my arms were too short to reach the phone
en_00107	What do you call a sleeping bull	A bulldozer
en_00108	Why did the invisible man turn down the job offer	He couldn't see himself doing it
en_00109	I tried to buy some camouflage trousers the other day	I couldn't find any
en_00110	I hate waiting in line for a long time	It's a waste of my time, and it's also very linefficient
en_00115	What's the best thing about Switzerland	I don't know, but the flag is a big plus
en_00116	I saw a documentary on how ships are put together	It was riveting
en_00118	My friend keeps insulting me with nautical terms	I think hes trying to be offshore
en_00120	I went to a restaurant that serves only overcooked food	It's a satisfactory
en_00126	Why was the computer cold	It left its Windows open
en_00127	I decided to become a gardener	I just want to put my roots down somewhere
en_00128	I'm reading a book on anti-gravity	It's impossible to put down
en_00129	I used to be addicted to soap	But I'm clean now
en_00130	My friend is a retired magician	He has a Houdini habit of disappearing from social events
en_00131	I'm afraid of the speed of light	I'm worried I might experience a major photo finish
en_00225	What do you call a factory that sells passable products	A satisfactory
en_00227	I lost my job as a tightrope walker	I couldn't handle the pressure of the balancing act
en_00228	Why did the scarecrow win an award	Because he was outstanding in his field
en_00229	I told my wife I was going to sell the car to buy a boat	She said, Don't jump to conclusions
en_00231	I don't trust the stairs in my house	They're always up to no good
en_00235	Why did the computer cold	It left its Windows open
en_00328	I tried to write a whole novel about a ghost town, complete with a mysterious deserted saloon and tumbleweeds	I'm struggling with the character development because the setting lacks any local color
en_00329	My favorite childhood memory is watching my older brother try to wrestle a stubborn juice box open during a school lunch break	I always got a good, spontaneous shot of orange soda directly onto my face, which made me feel alive
en_00330	I decided to become a gardener after realizing I needed a peaceful, non-violent way to manage my chronic stress and deeply rooted anxiety	I figured I needed to put my roots down somewhere else and start growing my problems out in the soil
en_00331	I told my teenage son to stop using his phone at the dinner table and he told me I was out of touch with modern, fast-paced communication etiquette	I sent him an urgent smoke signal that very clearly read 'no phone at table, talk to your parents
en_00332	I went to an art exhibition dedicated entirely to abstract, non-representational concepts of various kinds of household furniture	It was an incredibly moving and thought-provoking experience, especially the existential crisis of the end table
en_00333	I tried to make a shirt out of strategically placed magnets for a science fair project, hoping it would attract attention and win me the grand prize	It just wasn't very attractive to the judges, and I kept accidentally sticking to the whiteboard
en_00334	I lost my job as a tightrope walker because my employer said I couldn't handle the pressure of public performance and was always losing my balance	It was hard, but I learned to land on my feet
en_00335	My grandpa always told me I should religiously save money for the inevitable and unpredictable rainy day	So I spent all my savings on a miniature submarine and a lifetime supply of canned soup
en_00336	I spent all night trying to observe and deduce the exact celestial location where the sun goes after it drops below the Earth	Then, at 6:00 AM, it finally dawned on me that the Earth just turned around
en_00337	My friend tried to start a book club for people who love to take afternoon naps and have a deep appreciation for silk pajamas	It didn't work out; no one ever woke up for the literary discussions or the author meet-and-greets
en_00338	I'm writing a paper on the life of a domesticated sheep and their contribution to the global textile market	I'm struggling with the rough draft; its just too woolly, and I keep falling asleep counting facts
en_00339	I saw a sign that said, Watch for children crossing the road ahead," as I was driving through a busy suburban area"	I thought, That sounds like a fair trade for the old one I lost last year, maybe this one works better
en_00340	I tried to organize a hide-and-seek world championship with professional players and massive prize money	It was a complete flop—good competitors are simply too hard to find, even with a massive budget
en_00341	My uncle claims he knows the absolute best, most foolproof way to catch a particularly clever and elusive squirrel in the park	He says you should climb a tree and aggressively act like a nut—but only high-quality cashews
en_00342	I asked the librarian if the library had any books on the crippling psychological condition known as chronic paranoia	She leaned in close, whispered, They're right behind you, and then quickly checked the exit signs"
en_00343	My grandfather, bless his heart, always told me I should religiously save money for the inevitable and unpredictable rainy day	So I spent all my savings on an ark and two of every local, non-threatening animal
en_00344	I've decided to sell my vacuum cleaner after realizing it wasn't contributing anything positive to my life or the cleanliness of my apartment	Well, it was just gathering dust in the closet and judging my life choices anyway
en_00345	My boss called me into his office and said, I need you to have a good day and increase efficiency immediately"	So I simply went home and started brainstorming ways to look busy remotely
en_00346	Parallel lines have so much in common, like the same slope and the same direction, but their relationship is doomed to fail	Its a real shame theyll never get to meet up for coffee and discuss their shared trauma
en_00347	The man who single-handedly invented the hugely popular game of BINGO died recently after a long and exciting life	His name was OMalley, and he will be intensely missed, but not number B-12
en_00348	I told my wife she should try to acknowledge and embrace all the mistakes she has ever made in her life, professionally and personally	She immediately gave me a huge, prolonged, and suffocating hug
en_00349	My hotel told me, upon check-out, that I needed to leave my key card at the front desk and under no circumstances take it with me	I guess they didnt trust me with the key to their spectacular success or the mini-bar
en_00350	Singing in the shower is always fun and therapeutic until you slip, get distracted, and accidentally swallow a mouth full of soap	Then it suddenly becomes a real-life opera of coughing and regret
en_00351	What do you call a very lazy kangaroo who spends all its time lounging on the couch watching endless television	A pouch potato with commitment issues
en_00352	I stayed up all night trying to observe and deduce the exact celestial location where the sun goes after it drops below the Earth	Then, at the crack of dawn, it finally dawned on me that I should go back to sleep
en_00353	I had a vivid dream last night where I was a ferocious Tyrannosaurus Rex terrorizing the local neighborhood	Then I woke up and my arms were too short to reach the phone to call for a therapist
en_00354	What do you call a large, sleeping male bull resting peacefully in the middle of a construction zone	A bulldozer who clocked out early
en_00355	I tried to write a pun about the wind and the atmosphere, hoping it would be a witty and clever observation about nature	It just blows up in my face every single time I try to say it
en_00356	I saw a huge sign that read, 'We Buy Old Computers, Broken Screens, and Used Electronics'	I thought, That sounds like a great service, I'll definitely check it out later when I'm tired of my current model
en_00357	I was late for work because I had a sudden need to chase a squirrel that stole my car keys and ran up a tree	It was nuts, but the boss bought the whole squirrel-y story and gave me the day off
en_00358	I tried to organize a contest for people who are scared of heights but are also secretly competitive	No one showed up, but I won the jump-off by default, which felt hollow and kind of pathetic
en_00359	I invented a new language that is only spoken by insects and is extremely difficult to learn without an antennae	I call it the Ant-ics language, and its surprisingly good for insults
en_00360	I'm planning to open a store that sells nothing but used Christmas trees and slightly deflated festive balloons	I'm hoping to rake in the residual holiday income from people who like anti-climax
en_00361	I went to an art exhibition dedicated entirely to abstract representations of various kinds of furniture	It was an incredibly moving experience, especially the existential dread of the footstool
